turn 1: upper: THROW symbol r to (4, -1)
turn 106: upper: SLIDE from (-2, 2) to (-1, 2)
turn 106: lower: SWING from (-1, 3) to (0, 4)
turn 107: upper: SLIDE from (-1, 2) to (-1, 3)
turn 107: lower: SLIDE from (-1, 4) to (-2, 4)
turn 108: upper: SLIDE from (-1, 3) to (-2, 4)
turn 108: lower: SLIDE from (-2, 4) to (-3, 4)
turn 109: upper: SLIDE from (-2, 4) to (-3, 4)
turn 109: lower: SWING from (-3, 4) to (-4, 3)
turn 110: upper: SLIDE from (-3, 4) to (-2, 3)
turn 110: lower: SLIDE from (-4, 3) to (-4, 2)
turn 111: upper: SLIDE from (-2, 0) to (-1, 0)
turn 111: lower: SLIDE from (-4, 2) to (-4, 1)
turn 112: upper: SLIDE from (-1, 0) to (0, 0)
turn 112: lower: SLIDE from (-4, 1) to (-4, 0)
turn 113: upper: SLIDE from (0, 0) to (0, 1)
turn 113: lower: SLIDE from (-4, 4) to (-4, 3)
turn 114: upper: SLIDE from (0, 1) to (0, 2)
turn 114: lower: SLIDE from (-4, 3) to (-4, 4)
turn 115: upper: SLIDE from (0, 2) to (0, 3)
turn 115: lower: SLIDE from (-4, 4) to (-4, 3)
turn 116: upper: SLIDE from (0, 3) to (0, 4)
turn 116: lower: THROW symbol p to (1, -3)
turn 117: upper: THROW symbol s to (1, -3)
turn 117: lower: SLIDE from (1, -3) to (2, -4)
turn 118: upper: SLIDE from (1, -3) to (2, -4)
turn 118: lower: SLIDE from (2, -4) to (3, -4)
turn 119: upper: SLIDE from (2, -4) to (3, -4)
turn 119: lower: SLIDE from (3, -4) to (4, -4)
turn 120: upper: SLIDE from (3, -4) to (4, -4)
turn 120: lower: SLIDE from (4, -4) to (4, -3)
turn 121: upper: SLIDE from (4, -4) to (4, -3)
turn 121: lower: SLIDE from (4, -3) to (4, -2)
turn 122: upper: SLIDE from (4, -3) to (4, -2)
turn 122: lower: SLIDE from (4, -2) to (4, -1)
turn 123: upper: SLIDE from (4, -2) to (4, -1)
turn 123: lower: SLIDE from (4, -1) to (4, 0)
turn 124: upper: SLIDE from (4, -1) to (4, 0)
turn 124: lower: SLIDE from (4, 0) to (3, 1)
turn 125: upper: SLIDE from (4, 0) to (3, 1)
turn 125: lower: SLIDE from (3, 1) to (2, 1)
turn 126: upper: SLIDE from (3, 1) to (2, 1)
turn 126: lower: SLIDE from (2, 1) to (1, 1)
turn 127: upper: SLIDE from (2, 1) to (1, 1)
turn 127: lower: SLIDE from (1, 1) to (0, 1)
turn 128: upper: SLIDE from (1, 1) to (0, 1)
turn 128: lower: SLIDE from (0, 1) to (-1, 1)
turn 129: upper: SLIDE from (0, 1) to (-1, 1)
turn 129: lower: SLIDE from (-1, 1) to (-2, 1)
turn 130: upper: SLIDE from (-1, 1) to (-2, 1)
turn 130: lower: SLIDE from (-2, 1) to (-3, 1)
turn 131: upper: SLIDE from (-2, 1) to (-3, 1)
turn 131: lower: SLIDE from (-3, 1) to (-4, 1)
turn 132: upper: SLIDE from (-3, 1) to (-4, 1)
turn 132: lower: SWING from (-4, 1) to (-3, -1)
turn 133: upper: THROW symbol r to (0, 3)
turn 133: lower: SLIDE from (-3, -1) to (-2, -2)
turn 134: upper: SLIDE from (-4, 1) to (-3, 1)
turn 134: lower: SLIDE from (-4, 3) to (-4, 2)
turn 135: upper: SLIDE from (-3, 1) to (-2, 0)
turn 135: lower: SLIDE from (-4, 2) to (-4, 1)
turn 136: upper: SLIDE from (-2, 0) to (-2, -1)
turn 136: lower: SWING from (-4, 1) to (-3, -1)
turn 137: upper: SLIDE from (-2, -1) to (-2, -2)
turn 137: lower: SLIDE from (-2, -2) to (-1, -3)
turn 138: upper: SLIDE from (-2, -2) to (-1, -3)
turn 138: lower: SLIDE from (-1, -3) to (0, -3)
turn 139: upper: SLIDE from (-1, -3) to (0, -3)
turn 139: lower: SLIDE from (0, -3) to (0, -2)
turn 140: upper: SLIDE from (0, -3) to (0, -2)
turn 140: lower: SLIDE from (0, -2) to (0, -1)
turn 141: upper: SLIDE from (0, -2) to (0, -1)
turn 141: lower: SLIDE from (0, -1) to (0, 0)
turn 142: upper: SLIDE from (0, -1) to (0, 0)
turn 142: lower: SLIDE from (0, 0) to (0, 1)
turn 143: upper: SLIDE from (0, 0) to (0, 1)
turn 143: lower: SLIDE from (0, 1) to (1, 1)
turn 144: upper: SLIDE from (0, 1) to (1, 1)
turn 144: lower: SLIDE from (1, 1) to (2, 1)
turn 145: upper: SLIDE from (1, 1) to (2, 1)
turn 145: lower: SLIDE from (2, 1) to (2, 2)
turn 146: upper: SLIDE from (2, 1) to (2, 2)
turn 146: lower: THROW symbol p to (-4, 2)
turn 147: upper: SWING from (0, 4) to (0, 2)
turn 147: lower: SLIDE from (-4, 2) to (-3, 1)
turn 148: upper: SLIDE from (0, 2) to (0, 1)
turn 148: lower: SLIDE from (-3, 1) to (-2, 0)
turn 149: upper: SLIDE from (0, 1) to (-1, 1)
turn 149: lower: SLIDE from (-2, 0) to (-3, 1)
turn 150: upper: SLIDE from (-1, 1) to (-2, 1)
turn 150: lower: SLIDE from (-3, 1) to (-4, 2)
turn 151: upper: SLIDE from (-2, 1) to (-3, 2)
turn 151: lower: SLIDE from (-4, 2) to (-4, 3)
turn 152: upper: SLIDE from (-3, 2) to (-4, 3)
turn 152: lower: SLIDE from (-4, 3) to (-4, 4)
turn 153: upper: SLIDE from (-4, 3) to (-4, 4)
turn 153: lower: SLIDE from (-4, 4) to (-3, 4)
turn 154: upper: SLIDE from (-4, 4) to (-3, 4)
turn 154: lower: SLIDE from (-3, 4) to (-2, 4)
turn 155: upper: SLIDE from (-3, 4) to (-2, 4)
turn 155: lower: SLIDE from (-2, 4) to (-1, 4)
turn 156: upper: SLIDE from (-2, 4) to (-1, 4)
turn 156: lower: SLIDE from (-1, 4) to (0, 4)
turn 157: upper: SLIDE from (-1, 4) to (0, 4)
turn 157: lower: SLIDE from (0, 4) to (0, 3)
turn 158: upper: SLIDE from (0, 4) to (0, 3)
turn 158: lower: SLIDE from (0, 3) to (0, 2)
turn 159: upper: SLIDE from (0, 3) to (0, 2)
turn 159: lower: SLIDE from (0, 2) to (0, 1)
turn 160: upper: SLIDE from (0, 2) to (0, 1)
