turn 1: upper: THROW symbol r to (4, -2)
turn 1: lower: THROW symbol s to (-4, 2)
turn 103: lower: THROW symbol r to (-1, 1)
turn 104: upper: SLIDE from (-1, -2) to (0, -3)
turn 104: lower: SLIDE from (1, -3) to (2, -4)
turn 105: upper: SLIDE from (1, -1) to (2, -2)
turn 105: lower: THROW symbol p to (1, -1)
turn 106: upper: SLIDE from (3, -2) to (3, -3)
turn 106: lower: THROW symbol p to (0, -3)
turn 107: upper: SLIDE from (3, -3) to (3, -2)
turn 107: lower: THROW symbol r to (4, 0)
turn 108: upper: SWING from (2, -2) to (3, -1)
turn 108: lower: SLIDE from (1, -1) to (1, -2)
turn 109: upper: SWING from (4, -1) to (2, -1)
turn 109: lower: SLIDE from (-4, 3) to (-4, 2)
turn 110: upper: SWING from (4, -3) to (2, -2)
turn 110: lower: SLIDE from (1, -2) to (1, -3)
turn 111: upper: SLIDE from (2, -2) to (1, -2)
turn 111: lower: SLIDE from (-1, 1) to (-1, 0)
turn 112: upper: SLIDE from (1, -2) to (1, -3)
turn 112: lower: SWING from (1, -3) to (-1, -3)
turn 113: upper: SLIDE from (1, -3) to (0, -3)
turn 113: lower: SLIDE from (0, -3) to (-1, -2)
turn 114: upper: SLIDE from (0, -3) to (0, -4)
turn 114: lower: SWING from (-1, -3) to (-1, -1)
turn 115: upper: SLIDE from (0, -4) to (0, -3)
turn 115: lower: SLIDE from (-1, -2) to (-1, -1)
turn 116: upper: SWING from (3, -2) to (4, -1)
turn 116: lower: SWING from (-1, 0) to (-1, -2)
turn 117: upper: SLIDE from (0, -3) to (1, -3)
turn 117: lower: SLIDE from (4, 0) to (3, 1)
turn 118: upper: SLIDE from (4, -1) to (3, 0)
turn 118: lower: SLIDE from (-1, -2) to (0, -2)
turn 119: upper: SLIDE from (1, -3) to (2, -3)
turn 119: lower: SLIDE from (0, -2) to (1, -3)
turn 120: upper: SLIDE from (2, -3) to (2, -2)
turn 120: lower: SLIDE from (3, 1) to (2, 2)
turn 121: upper: SWING from (3, -1) to (3, 1)
turn 121: lower: SLIDE from (1, -3) to (1, -2)
turn 122: upper: SWING from (2, -2) to (3, -1)
turn 122: lower: SLIDE from (1, -2) to (2, -2)
turn 123: upper: SWING from (3, 0) to (2, 2)
turn 123: lower: SLIDE from (2, -2) to (2, -1)
turn 124: upper: SLIDE from (3, -1) to (3, 0)
turn 124: lower: SLIDE from (-1, -1) to (0, -2)
turn 125: upper: SLIDE from (2, 2) to (2, 1)
turn 125: lower: SLIDE from (2, -1) to (3, -1)
turn 126: upper: SWING from (3, 0) to (2, 2)
turn 126: lower: SLIDE from (3, -1) to (2, -1)
turn 127: upper: SWING from (3, 1) to (2, 0)
turn 127: lower: SLIDE from (2, -1) to (3, -2)
turn 128: upper: SWING from (2, 1) to (3, -1)
turn 128: lower: SLIDE from (3, -2) to (3, -3)
turn 129: upper: SWING from (2, 0) to (3, -2)
turn 129: lower: SLIDE from (3, -3) to (2, -3)
turn 130: upper: SWING from (3, -1) to (2, -2)
turn 130: lower: SLIDE from (0, -2) to (1, -3)
turn 131: upper: SWING from (2, -2) to (3, -1)
turn 131: lower: SWING from (2, -3) to (1, -4)
turn 132: upper: SLIDE from (3, -1) to (2, 0)
turn 132: lower: SWING from (1, -3) to (3, -4)
turn 133: upper: SLIDE from (4, -2) to (3, -1)
turn 133: lower: SLIDE from (1, -4) to (1, -3)
turn 134: upper: SLIDE from (3, -2) to (2, -1)
turn 134: lower: SLIDE from (1, -3) to (0, -2)
turn 135: upper: SWING from (2, 0) to (1, -1)
turn 135: lower: SLIDE from (3, -4) to (3, -3)
turn 136: upper: SLIDE from (1, -1) to (1, -2)
turn 136: lower: SLIDE from (2, -4) to (1, -3)
turn 137: upper: SLIDE from (1, -2) to (1, -1)
turn 137: lower: SWING from (0, -2) to (-2, 0)
turn 138: upper: SLIDE from (2, 2) to (2, 1)
turn 138: lower: SLIDE from (3, -3) to (3, -2)
turn 139: upper: SLIDE from (3, -1) to (2, 0)
turn 139: lower: SLIDE from (3, -2) to (2, -1)
turn 140: upper: SLIDE from (2, 0) to (1, 1)
turn 140: lower: SLIDE from (2, -1) to (2, -2)
turn 141: upper: SWING from (2, 1) to (1, 0)
turn 141: lower: SLIDE from (2, -2) to (1, -2)
turn 142: upper: SWING from (1, -1) to (0, 1)
turn 142: lower: SWING from (1, -2) to (0, -3)
turn 143: upper: SLIDE from (1, 0) to (2, 0)
turn 143: lower: SLIDE from (1, -3) to (1, -4)
turn 144: upper: SLIDE from (2, 0) to (2, 1)
turn 144: lower: SWING from (-1, -1) to (-3, 1)
turn 145: upper: SLIDE from (2, 1) to (3, 0)
turn 145: lower: SLIDE from (-2, 0) to (-3, 0)
turn 146: upper: SLIDE from (0, 1) to (1, 0)
turn 146: lower: SLIDE from (-3, 0) to (-4, 0)
turn 147: upper: SLIDE from (1, 0) to (0, 1)
turn 147: lower: SWING from (-4, 2) to (-2, 0)
turn 148: upper: SLIDE from (1, 1) to (1, 0)
turn 148: lower: SLIDE from (1, -4) to (0, -4)
turn 149: upper: SLIDE from (3, 0) to (2, 0)
turn 149: lower: SWING from (-2, 0) to (-4, 1)
turn 150: upper: SWING from (2, 0) to (0, 0)
turn 150: lower: SLIDE from (-3, 1) to (-4, 2)
turn 151: upper: SLIDE from (0, 0) to (0, -1)
turn 151: lower: SLIDE from (-4, 1) to (-3, 1)
turn 152: upper: SLIDE from (0, -1) to (0, -2)
turn 152: lower: SLIDE from (0, -3) to (-1, -3)
turn 153: upper: SLIDE from (0, -2) to (-1, -2)
turn 153: lower: SWING from (-4, 2) to (-2, 1)
turn 154: upper: SLIDE from (-1, -2) to (0, -3)
turn 154: lower: SWING from (-1, -3) to (1, -4)
turn 155: upper: SLIDE from (0, -3) to (1, -3)
turn 155: lower: SLIDE from (1, -4) to (2, -4)
turn 156: upper: SLIDE from (1, -3) to (2, -4)
turn 156: lower: SLIDE from (2, -4) to (1, -4)
turn 157: upper: SLIDE from (2, -4) to (1, -3)
turn 157: lower: SWING from (1, -4) to (-1, -3)
turn 158: upper: SLIDE from (1, -3) to (0, -3)
turn 158: lower: SLIDE from (-1, -3) to (-2, -2)
turn 159: upper: SLIDE from (0, -3) to (-1, -2)
turn 159: lower: SLIDE from (-2, -2) to (-3, -1)
turn 160: upper: SLIDE from (-1, -2) to (-2, -1)
turn 160: lower: SWING from (-4, 0) to (-2, -2)
turn 161: upper: SLIDE from (-2, -1) to (-2, 0)
turn 161: lower: SLIDE from (-3, -1) to (-4, 0)
turn 162: upper: SLIDE from (-2, 0) to (-2, 1)
turn 162: lower: SLIDE from (-2, 1) to (-1, 1)
turn 163: upper: SLIDE from (-2, 1) to (-1, 1)
turn 163: lower: SLIDE from (-1, 1) to (0, 0)
turn 164: upper: SWING from (1, 0) to (-1, 2)
turn 164: lower: SLIDE from (0, 0) to (1, -1)
turn 165: upper: SLIDE from (0, 1) to (0, 0)
turn 165: lower: SLIDE from (1, -1) to (1, -2)
turn 166: upper: SWING from (-1, 2) to (-2, 1)
turn 166: lower: SLIDE from (1, -2) to (2, -3)
turn 167: upper: SLIDE from (-2, 1) to (-3, 1)
turn 167: lower: SLIDE from (-3, 1) to (-3, 0)
turn 168: upper: SLIDE from (-3, 1) to (-2, 1)
turn 168: lower: SLIDE from (-3, 0) to (-3, -1)
turn 169: upper: SLIDE from (-1, 1) to (0, 1)
turn 169: lower: SWING from (-3, -1) to (-1, -2)
turn 170: upper: SLIDE from (0, 0) to (-1, 1)
turn 170: lower: SLIDE from (-4, 0) to (-3, 0)
turn 171: upper: SWING from (0, 1) to (-2, 2)
turn 171: lower: SLIDE from (2, -3) to (1, -3)
turn 172: upper: SWING from (-2, 1) to (0, 0)
turn 172: lower: SLIDE from (-3, 0) to (-3, -1)
turn 173: upper: SLIDE from (0, 0) to (-1, 0)
turn 173: lower: SLIDE from (0, -4) to (-1, -3)
